fecha,ndvi
2000-02-01,0.6180406703448443
2000-03-01,0.8168340674808647
2000-04-01,0.8130639309478735
2000-05-01,0.5036009463271799
2000-06-01,0.6729353947196142
2000-07-01,0.7024676332297736
2000-08-01,0.692990347165185
2000-09-01,0.7865610297706215
2000-10-01,0.8339357146258164
2000-11-01,0.8030770624592694
2000-12-01,0.7937186552906322
2001-01-01,0.7746095520513744
2001-02-01,0.7489639767762973
2001-03-01,0.7541125391327123
2001-04-01,0.7368137128164861
2001-05-01,0.7429422579723614
2001-06-01,0.6189846977704782
2001-07-01,0.6836682938732747
2001-08-01,0.692559373698056
2001-09-01,0.7439409768596221
2001-10-01,0.7781345650466033
2001-11-01,0.8225993087194183
2001-12-01,0.816724125965694
2002-01-01,0.7710407727582483
2002-02-01,0.7695473229058802
2002-03-01,0.6155404272161324
2002-04-01,0.7020863657465278
2002-05-01,0.7764132229880123
2002-06-01,0.8196608562773037
2002-07-01,0.6886641481865031
2002-08-01,0.6052298759656707
2002-09-01,0.7218438896427762
2002-10-01,0.7364818501589117
2002-11-01,0.6972066205812946
2002-12-01,0.8184822135128373
2003-01-01,0.7391187387660862
2003-02-01,0.7346027067339451
2003-03-01,0.8211211620183548
2003-04-01,0.799693788760729
2003-05-01,0.6237848254353696
2003-06-01,0.8021992024664035
2003-07-01,0.7730952772917193
2003-08-01,0.6805679927150665
2003-09-01,0.758723933447608
2003-10-01,0.7135407218274235
2003-11-01,0.7228474210145734
2003-12-01,0.725963343530897
2004-01-01,0.807765255339346
2004-02-01,0.8522382090014161
2004-03-01,0.8347146650954064
2004-04-01,0.7731620567439216
2004-05-01,0.6295903632348923
2004-06-01,0.6281758046756891
2004-07-01,0.7492134030282469
2004-08-01,0.7916370043685803
2004-09-01,0.818235398588247
2004-10-01,0.8346129268887853
2004-11-01,0.7980594477492462
2004-12-01,0.8221588951413961
2005-01-01,0.7306345949774283
2005-02-01,0.8033909369829434
2005-03-01,0.8002555860086438
2005-04-01,0.8002731374019466
2005-05-01,0.8451655816638703
2005-06-01,0.8356720946565228
2005-07-01,0.810535879786689
2005-08-01,0.7305711861229154
2005-09-01,0.7746524434881973
2005-10-01,0.758050897820472
2005-11-01,0.8190359373651593
2005-12-01,0.8479900352038261
2006-01-01,0.7627188321137481
2006-02-01,0.7527341516980328
2006-03-01,0.7617240628980227
2006-04-01,0.7898386285993165
2006-05-01,0.7552576863788415
2006-06-01,0.7554702641978832
2006-07-01,0.6339935944363099
2006-08-01,0.7186165901867659
2006-09-01,0.6779522390458173
2006-10-01,0.8268120859074622
2006-11-01,0.7260290930029792
2006-12-01,0.7849710477528176
2007-01-01,0.7518765405022576
2007-02-01,0.794421514659145
2007-03-01,0.737379934292754
2007-04-01,0.810686961813616
2007-05-01,0.7839045212417726
2007-06-01,0.7523688006642154
2007-07-01,0.5837155022080962
2007-08-01,0.8260092784701634
2007-09-01,0.8194502514611519
2007-10-01,0.7584475213965173
2007-11-01,0.6928000639799062
2007-12-01,0.7909410795642217
2008-01-01,0.7724161143067997
2008-02-01,0.7851882759585284
2008-03-01,0.7891219211632086
2008-04-01,0.7954737962599258
2008-05-01,0.7903131313311673
2008-06-01,0.7305162235593816
