fecha,precip_mm
2000-02-01,84.5077133868526
2000-03-01,45.76902225060793
2000-04-01,118.23331519950757
2000-05-01,307.9451253172669
2000-06-01,342.78119635273356
2000-07-01,332.50468649848835
2000-08-01,365.5962621666946
2000-09-01,358.4034814266674
2000-10-01,337.493905336476
2000-11-01,193.48722738861102
2000-12-01,203.32296159385243
2001-01-01,73.10341737402149
2001-02-01,41.177297332295396
2001-03-01,79.882217995043
2001-04-01,107.1741182819828
2001-05-01,248.9123874832275
2001-06-01,273.7702247012772
2001-07-01,321.2729815771949
2001-08-01,307.5217434635973
2001-09-01,292.0584114408346
2001-10-01,289.70212672971087
2001-11-01,449.3241242692124
2001-12-01,169.06516565563837
2002-01-01,80.33664766829342
2002-02-01,45.910996546663824
2002-03-01,67.2368311367624
2002-04-01,106.85648829430032
2002-05-01,275.2779039916473
2002-06-01,341.02932962385313
2002-07-01,354.59779433716426
2002-08-01,366.8862256051725
2002-09-01,297.3161668245567
2002-10-01,328.19547149097326
2002-11-01,231.63208743560583
2002-12-01,74.0347569375596
2003-01-01,51.13220724728398
2003-02-01,43.60324445616486
2003-03-01,45.43480828843279
2003-04-01,139.06415864573725
2003-05-01,395.47653839064196
2003-06-01,362.4422251603888
2003-07-01,333.74895396513085
2003-08-01,323.92261212936614
2003-09-01,323.70294415637716
2003-10-01,410.80106759845194
2003-11-01,325.9730692351949
2003-12-01,310.91618926125125
2004-01-01,73.23630699606967
2004-02-01,40.34916421313829
2004-03-01,65.2891475474491
2004-04-01,175.78541432357392
2004-05-01,338.45606519236094
2004-06-01,320.28511967235033
2004-07-01,341.58189326070533
2004-08-01,350.5962236145843
2004-09-01,314.4957852855115
2004-10-01,293.7129114588015
2004-11-01,295.659890986743
2004-12-01,105.84520945212589
2005-01-01,126.30556246108691
2005-02-01,52.506229770604676
2005-03-01,82.64420855997872
2005-04-01,168.34733778435034
2005-05-01,313.3394070707933
2005-06-01,344.6723434211482
2005-07-01,306.301744120675
2005-08-01,337.1621331386351
2005-09-01,360.8476790252416
2005-10-01,457.7764903491074
2005-11-01,556.0635849006426
2005-12-01,104.11233685669924
2006-01-01,98.12871368531034
2006-02-01,82.81329676667785
2006-03-01,106.35194530049145
2006-04-01,155.57861377629513
2006-05-01,273.82694674505
2006-06-01,291.2104560650106
2006-07-01,416.0409268749825
2006-08-01,339.72776621749006
2006-09-01,320.5549395113703
2006-10-01,313.43578033842675
2006-11-01,569.5446715156112
2006-12-01,165.3579252609036
2007-01-01,56.50459916533562
2007-02-01,39.374348660792435
2007-03-01,58.04243261429582
2007-04-01,244.77152078164534
2007-05-01,449.39947562508786
2007-06-01,323.9696632477926
2007-07-01,357.90862514931814
2007-08-01,405.36748465600783
2007-09-01,374.4000324947074
2007-10-01,376.3351580003281
2007-11-01,252.9975806145284
2007-12-01,169.73488515657172
2008-01-01,62.14257660794374
2008-02-01,93.76065687488584
2008-03-01,57.80655781495181
2008-04-01,95.32749253168721
2008-05-01,313.51955909910373
2008-06-01,287.20782718880764
2008-07-01,395.10133629276464
2008-08-01,339.3607299964116
2008-09-01,313.8469385148504
2008-10-01,299.1436350308746
