fecha,lst_celsius
2000-02-01,24.740463167020287
2000-03-01,25.87965645519072
2000-04-01,27.863519337599847
2000-05-01,25.290847462853932
2000-06-01,25.836529581568954
2000-07-01,25.9031560854646
2000-08-01,25.69172519099676
2000-09-01,26.229460602731045
2000-10-01,24.267557576181805
2000-11-01,25.305355261468375
2000-12-01,23.86760141869432
2001-01-01,24.79385200484808
2001-02-01,25.00909307599836
2001-03-01,26.375590172052924
2001-04-01,27.44455159870586
2001-05-01,28.142228014292186
2001-06-01,26.767479866566113
2001-07-01,25.97811289647782
2001-08-01,25.80237045091907
2001-09-01,27.337684411937715
2001-10-01,26.253564270903684
2001-11-01,21.943433526116785
2001-12-01,23.675054415254227
2002-01-01,24.696629435478464
2002-02-01,25.590496034884893
2002-03-01,25.992360449438564
2002-04-01,26.747548560799107
2002-05-01,26.554044063691506
2002-06-01,26.582896580094925
2002-07-01,24.96668002457816
2002-08-01,25.429499203129748
2002-09-01,26.342059864257557
2002-10-01,25.487632832984385
2002-11-01,25.281109376692598
2002-12-01,24.800301949192917
2003-01-01,24.59226211340566
2003-02-01,26.22399033098098
2003-03-01,27.998046085922415
2003-04-01,28.482142239491868
2003-05-01,26.139181055427013
2003-06-01,25.94687259928464
2003-07-01,23.38767413076822
2003-08-01,26.391234702801082
2003-09-01,26.244416478787887
2003-10-01,26.566373863168213
2003-11-01,24.70214080723404
2003-12-01,23.374172283343196
2004-01-01,24.67621474352474
2004-02-01,26.058140572144467
2004-03-01,25.751893335194445
2004-04-01,26.27633460935589
2004-05-01,26.490725700905426
2004-06-01,24.28076143945071
2004-07-01,25.50981731083411
2004-08-01,26.77893193480543
2004-09-01,26.45485600484929
2004-10-01,25.21298250449207
2004-11-01,23.769630768974924
2004-12-01,24.883552511926915
2005-01-01,23.730192810319558
2005-02-01,25.647607892259096
2005-03-01,26.851574286112108
2005-04-01,27.346629011746497
2005-05-01,26.55228163818618
2005-06-01,25.247609218719482
2005-07-01,26.157378016851602
2005-08-01,27.06900037713374
2005-09-01,27.41361779862579
2005-10-01,25.688514477724482
2005-11-01,25.31932309938585
2005-12-01,24.79825251693125
