celda_id,fecha,ndvi
0_4,2023-01-01,0.8538577572618783
0_4,2023-02-01,0.8433399909624945
0_4,2023-03-01,0.8324461138725714
0_4,2023-04-01,0.8197335743334839
0_4,2023-05-01,0.8530929733393587
0_4,2023-06-01,0.8387135788522372
0_4,2023-07-01,0.893125146859467
0_4,2023-08-01,0.5962373248983283
0_4,2023-09-01,0.7523488703117942
0_4,2023-10-01,0.7902093086308181
0_4,2023-11-01,0.8312747579374018
0_4,2023-12-01,0.8627089715048978
0_4,2024-01-01,0.8553887412744876
0_4,2024-02-01,0.8630462042476277
0_4,2024-03-01,0.842715634884772
0_4,2024-04-01,0.8391873248983284
0_4,2024-05-01,0.7278073203795753
0_4,2024-06-01,0.8174642114776325
0_4,2024-07-01,0.8582689335743335
0_4,2024-08-01,0.8030218707636695
0_4,2024-09-01,0.885924920921826
0_4,2024-10-01,0.8780827157704475
0_4,2024-11-01,0.7731651604157255
0_4,2024-12-01,0.8751663814456205
0_4,2025-01-01,0.8607475568565639
0_4,2025-02-01,0.827163217352011
0_4,2025-03-01,0.8356490284681432
0_4,2025-04-01,0.8235680750112971
0_4,2025-05-01,0.8674570718481703
0_4,2025-06-01,0.8425040668775421
0_4,2025-07-01,0.7938971305919568
0_4,2025-08-01,0.8199421373700859
0_4,2025-09-01,0.7882631043831905
0_4,2025-10-01,0.7419154089471307
0_4,2025-11-01,0.32730907453276287
0_4,2025-12-01,0.8544101778878631
0_4,2026-01-01,0.8656129475343393
0_4,2026-02-01,0.8564910528694084
0_4,2026-03-01,0.8627766832354273
0_4,2026-04-01,0.8497497288748308
0_5,2023-01-01,0.8870996506550219
0_5,2023-02-01,0.8770065643648767
0_5,2023-03-01,0.8510120204603584
0_5,2023-04-01,0.8353172208013644
0_5,2023-05-01,0.8540156862745101
0_5,2023-06-01,0.8616057971014495
0_5,2023-07-01,0.8422625745950556
0_5,2023-08-01,0.5447365728900257
0_5,2023-09-01,0.7873507246376815
0_5,2023-10-01,0.6796707587382781
0_5,2023-11-01,0.7972199126637556
0_5,2023-12-01,0.8765615384615386
0_5,2024-01-01,0.8416816593886465
0_5,2024-02-01,0.8781698209718672
0_5,2024-03-01,0.8692366581415176
0_5,2024-04-01,0.8771277919863599
0_5,2024-05-01,0.6057723785166242
0_5,2024-06-01,0.6859633418584826
0_5,2024-07-01,0.8685683716965048
0_5,2024-08-01,0.693189855072464
0_5,2024-09-01,0.7019375106564366
0_5,2024-10-01,0.8549158567774938
0_5,2024-11-01,0.7974025575447573
0_5,2024-12-01,0.8695074235807861
0_5,2025-01-01,0.8728661135371181
0_5,2025-02-01,0.8417663256606993
0_5,2025-03-01,0.8436067348678604
0_5,2025-04-01,0.8530169650468886
0_5,2025-05-01,0.8905520886615519
0_5,2025-06-01,0.7879324808184146
0_5,2025-07-01,0.8543150042625749
0_5,2025-08-01,0.8522505541346976
0_5,2025-09-01,0.8641513213981248
0_5,2025-10-01,0.866735464620631
0_5,2025-11-01,0.39328497816593894
0_5,2025-12-01,0.8768771179039304
0_5,2026-01-01,0.8601153711790396
0_5,2026-02-01,0.9139115089514068
0_5,2026-03-01,0.7581916453537938
0_5,2026-04-01,0.8570677749360617
1_0,2023-01-01,0.7292977099236643
1_0,2023-02-01,0.68
1_0,2023-03-01,0.5230967741935484
1_0,2023-04-01,0.47636451612903224
1_0,2023-05-01,0.6297483870967743
1_0,2023-06-01,0.8062000000000001
1_0,2023-07-01,0.7868290322580644
1_0,2023-08-01,0.7845032258064517
1_0,2023-09-01,0.8188935483870968
1_0,2023-10-01,0.7035161290322581
1_0,2023-11-01,0.7861183206106872
1_0,2023-12-01,0.7933827067669172
1_0,2024-01-01,0.7705618320610688
1_0,2024-02-01,0.6585
1_0,2024-03-01,0.5881516129032258
1_0,2024-04-01,0.5686225806451614
1_0,2024-05-01,0.6228387096774194
1_0,2024-06-01,0.7488838709677419
1_0,2024-07-01,0.8105838709677419
1_0,2024-08-01,0.7854161290322581
1_0,2024-09-01,0.8030290322580645
1_0,2024-10-01,0.8218838709677421
1_0,2024-11-01,0.5628161290322581
1_0,2024-12-01,0.7364946564885496
1_0,2025-01-01,0.7198404580152673
1_0,2025-02-01,0.6695741935483871
1_0,2025-03-01,0.6713322580645161
1_0,2025-04-01,0.7004806451612903
1_0,2025-05-01,0.7986935483870968
1_0,2025-06-01,0.8247741935483871
1_0,2025-07-01,0.8247741935483871
1_0,2025-08-01,0.5810096774193548
1_0,2025-09-01,0.7069064516129033
1_0,2025-10-01,0.5572967741935484
1_0,2025-11-01,0.5954190839694657
1_0,2025-12-01,0.7964770992366415
1_0,2026-01-01,0.7506015267175574
1_0,2026-02-01,0.6946064516129032
1_0,2026-03-01,0.6935064516129033
1_0,2026-04-01,0.6456064516129033
1_1,2023-01-01,0.7155708196721311
1_1,2023-02-01,0.6779973333333333
1_1,2023-03-01,0.5333753333333333
1_1,2023-04-01,0.4735630000000001
1_1,2023-05-01,0.7769563333333332
1_1,2023-06-01,0.7957143333333334
1_1,2023-07-01,0.7627256666666667
1_1,2023-08-01,0.7744636666666666
1_1,2023-09-01,0.7715666666666667
1_1,2023-10-01,0.6192496666666666
1_1,2023-11-01,0.7946891803278688
1_1,2023-12-01,0.7949953020134228
1_1,2024-01-01,0.8129052459016392
1_1,2024-02-01,0.719083
1_1,2024-03-01,0.6414203333333333
1_1,2024-04-01,0.5854163333333333
1_1,2024-05-01,0.6029663333333334
1_1,2024-06-01,0.7396809999999999
1_1,2024-07-01,0.8048283333333334
1_1,2024-08-01,0.813885
1_1,2024-09-01,0.7645846666666668
1_1,2024-10-01,0.6691656666666667
